ConferenceLocation,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TTCI,EE,TTPEC,INF,NCR,BE,SS,HH,HRLM,ICTR,PTT,IO,PC,ES,ATI,GPI,TSI,NR,CRBT
"Austin, Texas, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Wrocław, Lower Silesian Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Innsbruck, Tyrol, Austria",Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.9,4.9,5.4,3.6,4.8,6.2,7.0,5.3,6.1,5.3,4.0,4.7,5.7,4.2,5.2,6.7,4.1,3.2
"Villefranche-sur-Saône, Auvergne-Rhône-Alpes, France",France,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Zakopane, Lesser Poland Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Lisbon, Portugal",Portugal,23066.0,23252.0,24244.0,26560.0,27016.0,28014.0,28150.0,27194.0,27532.0,21165.0,21173.0,22588.0,,,,,,,,,,,,,,,4.9,5.5,4.8,5.2,4.0,4.7,6.3,6.0,5.1,5.5,5.7,4.2,5.1,4.2,4.7,4.2,6.7,4.0,4.1
"Lübeck, Schleswig-Holstein, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Poznań, Greater Poland Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Portland, Oregon, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Catania, Sicily, Italy",Italy,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
"Glasgow, Scotland, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Las Vegas, Nevada, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Brno, Southeast, Czechia",Czechia,,,,,,,,,20108.0,23808.0,24747.0,25102.0,22625.0,21850.0,23285.0,21941.0,22810.0,25750.0,26332.0,27166.0,29604.0,32519.0,34701.0,36268.0,37202.0,,4.3,5.6,4.7,4.5,2.5,4.5,6.1,6.9,4.9,5.7,4.3,4.2,5.4,5.0,3.4,4.9,5.2,2.5,2.4
"Chicago, Illinois, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Berlin, Berlin, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Leuven, Flemish Brabant, Belgium",Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.6,4.5,4.9,3.1,4.8,5.7,6.5,5.3,5.8,4.4,4.1,4.8,4.8,4.1,5.5,5.2,2.5,3.7
"Melbourne, Victoria, Australia",Australia,3726.0,4165.0,4318.0,4167.0,4459.0,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,5.1,5.7,4.7,5.2,4.9,5.1,6.1,6.2,5.1,5.8,5.3,4.9,4.4,4.4,6.0,3.6,6.1,5.5,4.4
