Stato,TTCI,EE,TTPEC,INF,NCR,BE,SS,HH,HRLM,ICTR,PTT,IO,PC,ES,ATI,GPI,TSI,NR,CRBT
Albania,3.6,5.0,4.3,3.1,2.0,4.0,5.8,5.3,5.1,4.7,5.0,2.4,5.3,4.3,2.1,3.1,4.0,2.9,1.2
Algeria,3.1,4.6,3.6,2.3,2.1,3.9,5.6,5.2,4.1,4.2,3.1,1.5,6.2,3.5,2.2,2.8,1.8,2.1,2.0
Angola,2.7,3.4,3.7,2.1,1.7,3.5,5.0,3.2,3.2,2.3,3.2,1.9,5.3,4.1,1.7,2.0,2.7,2.2,1.2
Argentina,4.2,4.9,4.0,3.4,4.3,3.3,5.1,6.5,4.5,4.9,4.6,3.1,4.9,3.4,3.1,2.7,4.5,4.5,4.2
Armenia,3.7,5.3,4.4,3.2,2.0,5.0,5.8,6.0,4.8,4.7,4.7,3.2,5.7,4.0,2.4,2.8,4.3,2.5,1.4
Australia,5.1,5.7,4.7,5.2,4.9,5.1,6.1,6.2,5.1,5.8,5.3,4.9,4.4,4.4,6.0,3.6,6.1,5.5,4.4
Austria,5.0,5.9,4.9,5.4,3.6,4.8,6.2,7.0,5.3,6.1,5.3,4.0,4.7,5.7,4.2,5.2,6.7,4.1,3.2
Azerbaijan,3.8,5.4,4.5,3.2,2.0,5.1,5.9,6.1,5.3,5.0,5.0,3.1,5.9,4.1,2.6,3.9,3.2,2.2,1.9
Bahrain,3.9,5.5,4.3,4.4,1.4,5.4,5.9,5.2,4.9,5.8,4.5,2.9,5.8,4.1,3.5,5.2,4.6,1.6,1.2
Bangladesh,3.1,4.2,3.8,2.5,2.0,4.2,4.9,4.5,3.8,3.4,3.6,2.5,5.3,3.8,2.0,3.5,1.9,2.3,1.6
Belgium,4.5,5.6,4.5,4.9,3.1,4.8,5.7,6.5,5.3,5.8,4.4,4.1,4.8,4.8,4.1,5.5,5.2,2.5,3.7
Benin,3.0,4.0,3.9,2.2,2.0,4.4,5.4,2.5,4.6,2.9,3.5,2.9,5.1,4.3,1.7,2.3,2.5,2.9,1.2
Bolivia,3.5,4.2,4.2,2.6,3.1,2.8,5.2,4.8,4.0,4.1,3.7,3.2,5.5,4.2,2.2,2.1,3.3,4.1,2.0
Bosnia and Herzegovina,3.3,4.6,4.1,2.8,1.7,3.4,5.4,5.6,4.1,4.5,4.1,2.4,5.5,4.3,2.0,2.4,3.9,1.9,1.5
Botswana,3.5,4.4,4.4,2.8,2.3,4.9,5.3,3.3,4.3,4.1,4.8,2.3,6.0,4.3,2.1,2.8,3.6,3.4,1.2
Brazil,4.5,4.5,4.2,3.5,5.6,3.7,4.3,5.4,4.3,4.8,4.0,3.0,5.4,4.3,3.7,2.4,4.5,5.8,5.4
Brunei Darussalam,3.8,5.3,4.5,3.7,1.7,4.8,6.1,5.5,4.6,5.4,3.4,3.7,6.6,4.1,3.3,3.8,4.0,2.4,1.1
Bulgaria,4.2,5.2,4.8,4.0,2.9,4.4,5.2,6.7,4.6,5.2,4.7,3.9,5.7,4.8,2.7,3.2,6.0,3.7,2.1
Burkina Faso,2.8,3.6,3.6,2.0,1.9,4.3,4.8,2.4,3.4,2.9,3.2,1.6,5.5,4.2,1.6,2.2,2.3,2.6,1.2
Burundi,2.7,3.6,3.5,2.0,1.6,4.0,4.8,3.2,4.1,1.7,2.8,1.8,5.4,4.1,1.7,2.5,1.7,2.1,1.1
Cambodia,3.4,4.2,4.4,2.7,2.3,3.8,5.1,4.0,4.2,3.9,5.0,3.5,5.6,3.4,2.3,2.5,3.2,3.0,1.6
Cameroon,2.9,3.7,3.5,2.1,2.2,4.0,4.7,2.8,4.4,2.8,3.0,1.8,5.0,4.4,1.7,2.5,2.2,3.2,1.2
Canada,5.1,5.6,4.6,5.5,4.4,5.2,6.1,5.7,5.5,5.8,5.1,3.6,4.9,4.9,6.6,3.9,6.1,4.8,4.0
Cape Verde, 3.6,4.6,4.5, 3.6, 1.5, 4.5, 5.2, 4.7, 4.2, 4.2, 4.7, 3.2, 5.7, 4.5, 3.5, 3.1, 4.2, 2.0, 1.0
Chad,2.5,3.0,3.5,1.8,1.8,2.8,4.2,2.8,3.2,2.2,3.2,1.7,4.8,4.2,1.5,1.9,1.8,2.7,1.0
Chile,4.1,5.2,4.8,3.6,2.8,4.9,5.7,5.2,4.8,5.4,4.7,4.7,5.6,4.2,3.1,3.4,4.3,3.2,2.4
China,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
Colombia,4.0,4.4,4.7,3.1,3.8,3.8,3.8,5.2,4.6,4.6,4.1,4.6,5.8,4.4,3.0,2.5,3.8,4.4,3.2
"Congo, Democratic Rep.",2.7, 3.2,3.0, 1.8, 2.6, 3.6,4.4, 2.6, 3.8, 1.7, 1.9, 1.5,4.8, 3.9, 1.6, 2.0, 1.9, 4.1, 1.2
Costa Rica,4.3,5.1,4.9,3.8,3.2,4.5,5.4,5.1,4.9,5.6,5.6,4.3,5.1,4.9,3.1,3.0,5.4,4.9,1.6
Croatia,4.5,5.1,4.8,4.7,3.6,3.8,5.9,6.3,4.1,5.2,4.9,4.2,5.0,5.1,3.6,3.9,6.5,4.4,2.8
Cyprus,4.2,5.5,4.7,4.6,2.1,4.9,5.9,5.7,5.1,5.9,6.2,3.8,4.8,3.9,3.7,4.4,5.7,2.5,1.7
Czech Republic,4.3,5.6,4.7,4.5,2.5,4.5,6.1,6.9,4.9,5.7,4.3,4.2,5.4,5.0,3.4,4.9,5.2,2.5,2.4
Côte d'Ivoire,3.1,4.0,3.6,2.5,2.3,4.3,4.6,3.3,4.0,4.0,2.6,2.6,5.1,4.1,2.1,2.8,2.6,3.3,1.3
Denmark,4.6,5.9,4.7,4.9,2.8,5.5,5.8,6.2,5.6,6.4,4.7,4.4,4.4,5.4,4.5,5.3,4.8,3.3,2.3
Dominican Republic,3.8,4.4,4.6,3.8,2.2,4.1,4.7,5.0,4.4,4.0,6.0,3.3,5.0,4.1,3.0,3.6,4.8,3.0,1.5
Ecuador,3.9,4.6,4.6,3.3,3.0,3.8,5.2,5.2,4.3,4.3,4.5,4.0,5.5,4.3,2.4,3.5,4.0,4.2,1.8
Egypt,3.9,4.5,4.6,3.3,3.1,4.4,4.8,5.0,4.3,4.3,5.2,2.2,6.5,4.7,3.3,3.4,3.2,3.0,3.3
El Salvador,3.2,3.9,4.6,2.7,1.7,3.6,3.0,5.1,3.7,4.2,4.3,4.6,5.7,3.8,2.1,2.9,3.1,2.2,1.3
Estonia,4.2,5.8,4.9,4.1,2.0,5.1,6.2,6.3,5.1,6.1,5.4,3.7,5.4,5.2,2.5,4.5,5.4,2.4,1.6
Eswatini,3.1,3.8,4.3,2.8,1.6,4.4,5.5,3.1,3.8,2.3,4.6,2.7,6.1,3.7,2.2,3.1,3.0,2.2,1.0
Ethiopia,3.0,3.7,4.0,2.1,2.3,3.9,5.1,3.3,3.6,2.4,3.8,2.6,5.5,4.1,2.2,2.4,1.7,3.0,1.6
Finland,4.5,6.1,4.8,4.7,2.5,5.7,6.7,6.4,5.5,6.1,5.0,4.1,4.7,5.6,4.9,4.5,4.7,2.9,2.0
France,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Gambia, The",3.2,4.3,4.2,2.7,1.7,4.3,5.7,3.9,4.1,3.4,5.1,2.3,5.3,4.4,2.0,3.3,2.6,2.3,1.1
Georgia,3.9,5.4,4.6,3.5,2.0,5.2,6.0,6.0,4.7,4.9,5.2,3.4,5.7,4.2,2.5,3.2,4.9,2.4,1.5
Germany,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
Ghana,3.1,4.4,4.0,2.3,1.9,4.8,5.5,3.0,4.7,4.1,3.8,3.0,5.0,4.1,2.0,2.6,2.3,2.5,1.3
Greece,4.5,5.2,4.8,4.8,3.4,3.9,5.6,6.5,4.7,5.2,5.6,4.1,4.9,4.5,4.8,3.8,5.8,3.5,3.3
Guatemala,3.4,4.1,4.5,2.7,2.2,4.2,4.0,4.5,3.9,4.0,4.5,3.9,5.7,3.9,1.8,2.4,3.8,3.0,1.5
Guinea,2.9,3.7,3.7,2.2,2.1,4.2,4.6,2.6,4.1,3.2,2.7,1.8,5.7,4.5,1.9,2.3,2.4,3.1,1.1
Haiti,2.8,3.4,4.1,2.1,1.5,3.0,4.8,3.7,3.6,1.8,3.6,3.9,5.6,3.3,1.8,1.9,2.6,1.8,1.2
Honduras,3.5,3.9,4.8,2.9,2.2,4.1,3.6,4.5,3.9,3.4,5.1,4.3,5.5,4.5,2.1,3.1,3.4,3.1,1.3
Hong Kong SAR,4.8,6.1,4.7,5.4,3.0,6.1,6.4,6.0,5.6,6.6,5.9,3.8,4.5,4.6,5.6,6.4,4.3,3.6,2.4
Hungary,4.2,5.3,4.8,4.1,2.5,4.3,5.8,6.6,4.6,5.3,5.1,4.2,5.3,4.8,3.4,4.2,4.8,2.7,2.3
Iceland,4.5,6.0,4.7,5.0,2.3,5.3,6.5,6.2,5.6,6.3,6.1,4.4,3.6,4.8,5.0,4.0,6.0,3.1,1.5
India,4.4,4.4,4.5,3.8,5.0,4.9,4.5,4.4,4.5,3.6,4.3,3.8,6.1,3.6,4.2,4.5,2.8,4.5,5.5
Indonesia,4.3,4.8,5.0,3.5,3.8,4.7,5.4,4.5,4.9,4.7,5.9,4.3,6.2,3.5,3.9,3.3,3.1,4.5,3.2
"Iran, Islamic Rep.", 3.5,4.6,4.2, 2.8,2.6, 3.9, 5.4, 5.0, 4.1,4.5, 3.7, 2.4, 6.7, 3.9, 2.5, 3.1, 2.8, 2.4, 2.8
Ireland,4.5,5.6,4.9,4.9,2.7,5.2,6.0,5.8,5.3,5.7,5.5,4.5,4.6,4.9,4.5,4.5,5.8,2.6,2.9
Israel,4.0,5.6,3.9,4.5,2.0,5.1,5.5,6.0,5.3,5.9,5.0,2.5,3.6,4.3,3.6,4.4,5.4,2.3,1.7
Italy,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
Jamaica,3.7,4.5,4.5,4.0,2.0,4.8,3.9,4.9,4.8,4.3,6.2,4.0,4.3,3.4,2.5,4.6,4.9,2.6,1.4
Japan,5.4,5.9,4.8,5.5,5.3,5.4,6.2,6.4,5.3,6.2,5.3,4.6,4.8,4.4,4.8,6.0,5.7,4.1,6.5
Jordan,3.6,4.9,4.5,3.2,1.8,4.6,5.7,5.4,4.0,4.8,5.1,3.3,5.3,4.3,2.7,2.9,3.8,2.2,1.3
Kazakhstan,3.7,5.3,4.2,3.0,2.1,4.7,5.6,6.5,4.7,5.0,4.3,2.5,6.3,3.8,2.7,2.9,3.4,2.6,1.7
Kenya,3.6,4.1,4.5,3.0,3.0,4.5,4.6,3.4,4.4,3.5,5.4,3.0,4.9,4.5,2.7,3.3,2.9,4.5,1.5
"Korea, Rep.",4.8,5.7,4.7,5.1,3.6,4.8,5.9,6.4,5.0,6.3,4.9,4.3,5.0,4.7,4.6,5.2,5.6,2.4,4.8
