url,Citazioni,location
conf/bnaic/bnaic2018,4,"'s-Hertogenbosch, The Netherlands"
conf/ida/ida2018,22,"'s-Hertogenbosch, The Netherlands"
conf/gosler/gosler1995,92,1995
conf/wsna/wsna2003,1162,2003
conf/birthday/csp2004,160,2004
conf/w2gis/w2gis2018,7,"A Coruña, Spain"
conf/apgv/apgv2005,170,"A Coruña, Spain"
conf/sisap/sisap2013,115,"A Coruña, Spain"
conf/atal/esoa2003,152,AAMAS 2003
conf/atal/autonomy2003,133,AAMAS 2003
conf/atal/esoa2004,203,AAMAS 2004
conf/atal/esoa2005,45,AAMAS 2005
conf/atal/ala2011,20,ALA 2011
conf/mmb/mmb93,34,Aachen
conf/tat/tat1989,4,Aachen
conf/kivs/kivs1976,8,Aachen
conf/tat/tat1990,9,Aachen
conf/kivs/kivs87,39,Aachen
conf/bildmed/bildmed1998,45,Aachen
conf/tgc/tgc2011,43,"Aachen, Germany"
conf/plilp/plilp96,135,"Aachen, Germany"
conf/sagt/sagt2013,83,"Aachen, Germany"
conf/ki/ki2002,127,"Aachen, Germany"
conf/csedu/csedu2013,6,"Aachen, Germany"
conf/sas/sas96,248,"Aachen, Germany"
conf/casc/casc2015,69,"Aachen, Germany"
conf/wg/wg95,85,"Aachen, Germany"
conf/esc/esc1983,31,"Aachen, Germany"
conf/webist/webist2013,1,"Aachen, Germany"
conf/alp/alp96,99,"Aachen, Germany"
conf/iwomp/iwomp2015,47,"Aachen, Germany"
conf/jhpcs/jhpcs2016,10,"Aachen, Germany"
conf/europar/europar2013w,137,"Aachen, Germany"
conf/concur/concur2011,365,"Aachen, Germany"
conf/mc/up2016,1,"Aachen, Germany"
conf/smartgreens/smartgreens2013,1,"Aachen, Germany"
conf/conpar/conpar86,60,"Aachen, Germany"
conf/simulationstechnik/simulationstechnik1988,15,"Aachen, Germany"
conf/icira/icira2011-1,127,"Aachen, Germany"
conf/tat/tat1993,2,"Aachen, Germany"
conf/networking/networking2009,327,"Aachen, Germany"
conf/europar/europar2013,436,"Aachen, Germany"
conf/papm/papm2001,175,"Aachen, Germany"
