url,Citazioni
conf/3dgis/3dgis2006,86
conf/3dica/3dic1997,42
conf/3dica/3dica1998,75
conf/3dica/3dica1999,50
conf/3dica/3dica2000,94
conf/3dica/3dica2001,17
conf/3dica/3dica2002,72
conf/3dica/3dica2004,50
conf/3dica/3dica2006,61
conf/3dica/3dica2008,47
conf/3dica/3diim2011,139
conf/3dica/3dip2010,50
conf/3dica/3dip2012,137
conf/3dica/3dip2013,29
conf/3dica/3dipm2014,5
conf/3dica/3dipm2015,6
conf/3dor/3dor2014,1
conf/3dor/3dor2015,9
conf/3dor/3dor2016,3
conf/3dor/3dor2017,14
conf/3dph/3dph2009,57
conf/3pgcic/3pgcic2016,55
conf/3pgcic/3pgcic2017,53
conf/3pgcic/3pgcic2018,32
conf/3pgcic/3pgcic2019,34
conf/5gwn/5gwn2017,15
conf/5gwn/5gwn2019,2
conf/ACMace/ace2004,439
conf/ACMace/ace2005,696
conf/ACMace/ace2006,546
conf/ACMace/ace2007,467
conf/ACMace/ace2008,456
conf/ACMace/ace2009,282
conf/ACMace/ace2010,59
conf/ACMace/ace2011,346
conf/ACMace/ace2012,168
conf/ACMace/ace2013,200
conf/ACMace/ace2014,231
conf/ACMace/ace2014w,55
conf/ACMace/ace2015,137
conf/ACMace/ace2016,81
conf/ACMace/ace2017,46
conf/ACMdis/ACMdis1995,242
conf/ACMdis/ACMdis1997,276
conf/ACMdis/ACMdis2000,1302
conf/ACMdis/ACMdis2002,601
conf/ACMdis/ACMdis2004,945
conf/ACMdis/ACMdis2006,1074
conf/ACMdis/ACMdis2008,453
conf/ACMdis/ACMdis2010,959
conf/ACMdis/ACMdis2012,1342
conf/ACMdis/ACMdis2014,1355
conf/ACMdis/ACMdis2014c,155
conf/ACMdis/ACMdis2016,1130
conf/ACMdis/ACMdis2016c,98
conf/ACMdis/ACMdis2017,873
conf/ACMdis/ACMdis2017c,184
conf/ACMdis/ACMdis2018,632
conf/ACMdis/ACMdis2018c,131
conf/ACMdis/ACMdis2019,368
conf/ACMdis/ACMdis2019c,41
conf/ACMdis/ACMdis2020,24
conf/ACMdis/ACMdis2020c,9
